,(Doc complete) Byets in,(Doc complete) Requests,(Fully loaded) Bytes in,(Fully loaded) Requests,(Fully loaded) Time,DOM elements,First byte,Load time,Speed Index,Start render
web_address,,,,,,,,,,
https://twitter.com/login?lang=en,0.047989656418595865,0.026501766784452294,0.038198507988947306,0.025682182985553772,0.04336873924178177,0.08958210712183637,0.16441675320179994,0.04653449123381943,0.06505663939584644,0.07766990291262135
