Site name,(Doc complete) Byets in,(Doc complete) Requests,(Fully loaded) Bytes in,(Fully loaded) Requests,(Fully loaded) Time,DOM elements,First byte,Load time,Speed Index,Start render
http//addthis.com/,0.235380580261,0.173076923077,0.194598319945,0.179104477612,0.176255600094,0.148332264272,0.45632798574,0.159951045001,0.17012488937,0.118811881188
http//adobe.com/,0.35171338601,0.129120879121,0.282149349824,0.308457711443,0.285687337892,1.0,0.27807486631,0.211471474299,0.993214672042,1.0
http//amazon.com/,0.300576831106,0.510989010989,0.316968222037,0.793532338308,0.29559066258,0.445157152021,0.262032085561,0.173295989456,0.329629265414,0.0693069306931
http//apple.com/,0.0811101815029,0.118131868132,0.0657142914792,0.106965174129,0.0502004244282,0.08194355356,0.204991087344,0.0515910374694,0.124791031567,0.0693069306931
http//baidu.com/,0.0158466041923,0.0357142857143,0.0131096526639,0.0422885572139,0.0935628389531,0.0179602309173,0.283422459893,0.0839766522312,0.118202379782,0.108910891089
http//bbc.co.uk/,0.211976435156,0.414835164835,0.186069487973,0.746268656716,0.561895779297,0.21423989737,0.781639928699,0.192077763133,0.4103648343,0.148514851485
http//bit.ly/,0.0515659062258,0.0412087912088,0.041053229608,0.0398009950249,0.0483140768687,0.0716805644644,0.235294117647,0.044977405385,0.164027928017,0.148514851485
http//blogger.com/,0.100181418708,0.153846153846,0.0798930963128,0.149253731343,0.0641358170243,0.0428159076331,0.26559714795,0.061170212766,0.379388337103,0.049504950495
http//blogspot.com/,0.100179895156,0.153846153846,0.0798918856908,0.149253731343,0.0657627917944,0.0428159076331,0.349376114082,0.0630060252307,0.379093322844,0.0594059405941
http//buydomains.com/,0.167830369808,0.200549450549,0.134206326307,0.191542288557,0.156519688753,0.127485567672,0.688948306595,0.136956317078,0.379388337103,0.366336633663
http//cnn.com/,0.244920044018,0.645604395604,0.228206512512,0.833333333333,0.34171186041,0.294259140475,0.118538324421,0.18536998682,0.444193136002,0.366336633663
http//europa.eu/,0.0104977050961,0.0521978021978,0.00836695451607,0.0497512437811,0.0526998349446,0.033194355356,0.142602495544,0.0523441913011,0.0909627298653,0.0891089108911
http//facebook.com/,0.0734293054695,0.129120879121,0.0701961870595,0.154228855721,0.0860881867484,0.0906029506094,0.151515151515,0.0629824891734,0.0986331005999,0.0990099009901
http//flickr.com/,0.754371577088,0.153846153846,0.601060158978,0.161691542289,0.523626503183,0.0758499037845,0.387700534759,0.447161551497,0.799291965778,0.019801980198
http//github.com/,0.219928503356,0.134615384615,0.175305501902,0.129353233831,0.132303701957,0.0902822322001,0.120320855615,0.121257766899,0.120562493854,0.118811881188
http//godaddy.com/,0.0211134491581,0.0357142857143,0.122847694241,0.39552238806,0.168120726244,0.34862091084,0.693404634581,0.0324797589908,0.204051529157,0.118811881188
http//goo.gl/,0.0326175688413,0.0521978021978,0.025965132357,0.047263681592,0.0228719641594,0.0429762668377,0.147058823529,0.0253718697044,0.0520208476743,0.049504950495
http//google.co.jp/,0.0277401726576,0.0247252747253,0.0230949781958,0.0323383084577,0.0635227540674,0.0572482360487,0.219251336898,0.0233006966673,0.0154390795555,0.00990099009901
http//google.com/,0.0277202939381,0.0247252747253,0.0230790671639,0.0323383084577,0.0622258901203,0.0566067992303,0.180926916221,0.0215354923743,0.0168158127643,0.00990099009901
http//google.de/,0.0277404628578,0.0247252747253,0.0230956123312,0.0323383084577,0.0639707616128,0.0572482360487,0.249554367201,0.0235125211825,0.0199626315272,0.019801980198
http//instagram.com/,0.0604725157114,0.0412087912088,0.0502609322769,0.047263681592,0.0732374439991,0.0599743425273,0.275401069519,0.0492845038599,0.206903333661,0.168316831683
http//jimdo.com/,0.0684137014002,0.159340659341,0.0543990688587,0.15671641791,0.0768215043622,0.0668697883258,0.054367201426,0.0672189794766,0.114662208673,0.0792079207921
http//linkedin.com/,0.00849365448058,0.0274725274725,0.0173292468115,0.0771144278607,0.0373732610233,0.056286080821,0.19696969697,0.0186876294483,0.0721801553742,0.049504950495
http//microsoft.com/,0.0396781417663,0.0494505494505,0.0632664714491,0.475124378109,0.202853100684,0.10279025016,0.872549019608,0.0437299943513,0.232274559937,0.158415841584
http//mozilla.org/,0.043940676097,0.0906593406593,0.0349451227931,0.0820895522388,0.0452959207734,0.20173187941,0.689839572193,0.0471662587083,0.114170518242,0.0990099009901
http//myspace.com/,0.75603631102,0.631868131868,0.602676051101,0.587064676617,0.50372553643,0.47883258499,0.170231729055,0.492397853512,0.423837152129,0.118811881188
http//nih.gov/,0.0525365536279,0.159340659341,0.0417970127037,0.144278606965,0.0441876915822,0.127645926876,0.191622103387,0.0462718885332,0.142098534763,0.128712871287
http//nytimes.com/,0.206831982161,0.43956043956,0.337878085176,0.65671641791,0.362202310776,0.307729313663,0.0401069518717,0.233336471474,0.612449601731,0.029702970297
http//pinterest.com/,0.138683886571,0.25,0.167043295013,0.273631840796,0.210398490922,0.180404105196,0.33422459893,0.135332329128,0.336512931458,0.316831683168
http//qq.com/,0.256669528041,0.524725274725,0.204258218754,0.475124378109,1.0,0.355837075048,0.825311942959,1.0,0.585406627987,0.168316831683
http//reddit.com/,0.70642359781,0.447802197802,0.818861433071,0.766169154229,0.977929733553,0.456703014753,1.0,0.637238749765,1.0,0.128712871287
http//soundcloud.com/,0.115173165412,0.285714285714,0.0918462590771,0.266169154229,0.129238387173,0.0848300192431,0.197860962567,0.120504613067,0.488346936769,0.108910891089
http//statcounter.com/,0.0456115042358,0.118131868132,0.0362938133469,0.106965174129,0.0276114124027,0.0707184092367,0.144385026738,0.0297731124082,0.0857508112892,0.0792079207921
http//t.co/,0.0,0.0,0.0,0.0,0.0,0.0,0.20944741533,0.0,0.0,0.0
http//theguardian.com/,0.139767204234,0.431318681319,0.127506513579,0.626865671642,0.227776467814,0.44964720975,0.186274509804,0.119916211636,0.237879830858,0.029702970297
http//tumblr.com/,0.414660657199,0.208791208791,0.374256872658,0.278606965174,0.351945295921,0.104554201411,0.102495543672,0.233006966673,0.319107090176,0.207920792079
http//twitter.com/,0.0482059673304,0.0384615384615,0.0383178580292,0.0373134328358,0.0478189106343,0.10279025016,0.159536541889,0.0467190736208,0.0599862326679,0.0594059405941
http//vimeo.com/,1.0,1.0,1.0,1.0,0.735133223296,0.261866581142,0.0,0.550202410092,0.832628577048,0.237623762376
http//vk.com/,0.1049650802,0.120879120879,0.0899462166765,0.116915422886,0.113628861118,0.0449005772931,0.572192513369,0.105253247976,0.3117317337,0.306930693069
http//w3.org/,0.0380177608378,0.0906593406593,0.0305609993512,0.0820895522388,0.0179438811601,0.100545221296,0.174688057041,0.0196526077951,0.0506441144655,0.049504950495
http//weebly.com/,0.194051416526,0.21978021978,0.155080620219,0.206467661692,0.176279179439,0.122193713919,0.553475935829,0.143122764075,0.441242993411,0.306930693069
http//wikipedia.org/,0.00430838597566,0.00549450549451,0.00347534986255,0.00497512437811,0.0202074982315,0.145285439384,0.424242424242,0.020617586142,0.0676566034025,0.049504950495
http//wordpress.com/,0.0271446816735,0.211538461538,0.0216828164602,0.206467661692,0.0852393303466,0.10936497755,0.157754010695,0.0748917341367,0.0715901268561,0.049504950495
http//wordpress.org/,0.106676101078,0.107142857143,0.0848012461336,0.0970149253731,0.0581702428672,0.0590121872996,0.0900178253119,0.0604641310488,0.0527092142787,0.049504950495
http//wp.com/,0.0270766297068,0.211538461538,0.0216300679303,0.206467661692,0.0895307710446,0.10936497755,0.326203208556,0.0799755225005,0.110630347133,0.0891089108911
http//yahoo.com/,0.0839207712595,0.318681318681,0.0685341760031,0.318407960199,0.0796981843905,0.146247594612,0.192513368984,0.0663952174732,0.128429540761,0.0693069306931
http//yandex.ru/,0.077816045522,0.17032967033,0.0860856007755,0.298507462687,0.306861589248,0.223861449647,0.76559714795,0.156679533045,0.289015635756,0.128712871287
http//youtu.be/,0.142599559012,0.197802197802,0.185874347237,0.241293532338,0.246121197831,0.377164849262,0.0677361853832,0.150089437018,0.497492378798,0.049504950495
http//youtube.com/,0.141632394013,0.197802197802,0.185107792918,0.241293532338,0.235534072153,0.381334188582,0.0570409982175,0.149006778384,0.43966958403,0.039603960396
