,(Fully loaded) Requests,(Doc complete) Requests
0,0.104333868379,0.0636042402827
1,0.486356340289,0.351590106007
2,0.237560192616,0.187279151943
3,0.0481540930979,0.0441696113074
4,0.261637239165,0.287985865724
5,0.105939004815,0.113074204947
6,0.404494382022,0.174911660777
7,0.274478330658,0.298586572438
8,0.0642054574639,0.0706713780919
9,0.0770465489567,0.00353356890459
10,0.0256821829856,0.0212014134276
11,0.576243980738,0.439929328622
12,0.653290529695,0.450530035336
13,0.0497592295345,0.0530035335689
14,0.239165329053,0.247349823322
15,0.0738362760835,0.0812720848057
16,0.0754414125201,0.083038869258
17,0.707865168539,0.734982332155
18,0.0690208667737,0.0636042402827
19,0.0128410914928,0.0141342756184
20,0.0930979133226,0.0742049469965
21,0.0561797752809,0.0618374558304
22,0.0192616372392,0.0212014134276
23,0.0256821829856,0.0212014134276
24,0.0256821829856,0.0212014134276
25,0.113964686998,0.121908127208
26,0.0,0.0
27,0.0850722311396,0.0918727915194
28,0.831460674157,0.66961130742
29,0.0529695024077,0.0583038869258
30,0.0,0.0
31,0.0449438202247,0.0353356890459
32,0.0979133226324,0.0459363957597
33,0.0401284109149,0.0318021201413
34,0.314606741573,0.0706713780919
35,0.0674157303371,0.0353356890459
36,0.520064205457,0.56183745583
37,0.645264847512,0.694346289753
38,0.154093097913,0.148409893993
39,0.0930979133226,0.0936395759717
40,0.552166934189,0.496466431095
41,0.15569823435,0.0459363957597
42,1.0,1.0
43,0.083467094703,0.0865724381625
44,0.112359550562,0.121908127208
45,0.810593900482,0.826855123675
46,0.0433386837881,0.0459363957597
47,0.0609951845907,0.030035335689
